"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
67;"R3";"R_1206";1;"59.0 0.1%";;;
68;"C12,C17,C18,C32,C33,C72,C10";"C_0805";7;"10u";;;
69;"C54,C71";"C_0805";2;"4.7u";;;
70;"U19,U6";"SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm";2;"UCC27211";;;
71;"R45";"R_0603";1;"2k";;;
72;"P3";"Pin_Header_Straight_1x09";1;"CONN_01X09";;;
73;"U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"LM358A";;;
74;"U14,U22";"MSOP-8_3x3mm_Pitch0.65mm";2;"SN74LVCH2T45";;;
75;"U21";"SC-74A";1;"74LVC1G17";;;
76;"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP31,TP33,TP35,TP36,TP38,TP40";"TEST_PAD_1.27mm";29;"TEST_POINT";;;
77;"G***";"gnd-symbol";1;"LOGO";;;
78;"C51,C52,C83,C84";"CP18";4;"560u";;;
79;"Q10";"SOT-669_LFPAK_ThermalVias-1";1;"PSMN021-100";;;
80;"P6";"Pin_Header_Straight_1x03";1;"CONN_01X03";;;
81;"P7";"Pin_Header_Straight_1x05";1;"CONN_01X05";;;
82;"P14,P1,P13";"Pin_Header_Straight_1x02";3;"CONN_01X02";;;
83;"U9";"R-78E-0.5";1;"R-78E3.3-0.5";;;
84;"P15";"Pin_Header_Straight_1x04";1;"CONN_01X04";;;
85;"REF**,REF**,REF**";"M3-SCREW-HOLE";3;"M3-SCREW-HOLE";;;
86;"G***";"lofaro-labs-logo";1;"LOGO";;;
87;"REF**,REF**,REF**,REF**,REF**,REF**";"8MM_HOLE";6;"M4-SCREW-HOLE";;;
88;"Q8,Q3,Q6,Q7,Q9,Q5";"TO-247_Horizontal_Neutral123_MountFromLS_largePads";6;"IRFP4468";;;
